date,open,high,low,close,volume
2025-09-12 01:00:00,115500.0,116833.25,114690.0,116106.03,8364.59417965981
2025-09-13 01:00:00,116106.03,116378.04,115060.0,115968.35,2269.4646540996027
2025-09-14 01:00:00,115949.1,116226.61,115166.0,115314.13,2850.4452507900237
2025-09-15 01:00:00,115390.6,116970.0,114158.2,115381.08,7997.4964741292915
2025-09-16 01:00:00,115375.0,117120.0,114750.0,116764.2,7306.760751681255
2025-09-17 01:00:00,116764.2,117360.0,114724.57,116469.0,8975.879219729366
2025-09-18 01:00:00,116469.1,118000.0,116125.08,117117.99,8842.00577708287
2025-09-19 01:00:00,117117.99,117516.36,115132.71,115690.55,7209.858899561289
2025-09-20 01:00:00,115690.55,116300.0,115463.22,115739.1,3049.6663061400423
2025-09-21 01:00:00,115739.1,115970.0,115237.16,115282.27,2594.3933913796673
2025-09-22 01:00:00,115299.0,115550.0,111730.3,112736.59,11535.355108070004
2025-09-23 01:00:00,112747.8,113490.0,111502.08,112017.21,6305.81834049361
2025-09-24 01:00:00,112001.5,114210.0,111066.07,113348.17,6452.617648731016
2025-09-25 01:00:00,113300.0,113710.0,108623.7,109035.72,12367.685557031862
2025-09-26 01:00:00,109049.8,110520.0,108645.02,109697.29,9592.990630112537
2025-09-27 01:00:00,109706.4,110010.0,109116.0,109681.16,3029.991418490966
2025-09-28 01:00:00,109720.5,112620.0,109225.4,112197.67,3937.717819801301
2025-09-29 01:00:00,112127.8,114640.0,111582.65,114365.2,6985.6355361305605
2025-09-30 01:00:00,114365.3,114990.0,112764.3,113995.0,1625.4137771399166
2025-10-01 01:00:00,113995.0,118810.0,113950.0,118659.97,12048.440826667631
2025-10-02 01:00:00,118600.0,121111.0,118336.01,120621.32,11366.720939205366
2025-10-03 01:00:00,120650.0,123996.81,119327.83,122318.4,14502.714567974543
2025-10-04 01:00:00,122259.5,122896.0,121560.0,122458.56,3595.6482672611446
2025-10-05 01:00:00,122458.55,125750.0,122130.0,123520.79,8271.798845124471
2025-10-06 01:00:00,123520.8,126296.0,123115.77,124720.09,12340.85076893095
2025-10-07 01:00:00,124765.9,125226.34,120636.0,121393.95,11381.059871384374
2025-10-08 01:00:00,121393.96,124254.31,121090.06,123343.25,8170.004610604249
2025-10-09 01:00:00,123329.8,123822.08,119600.0,121714.51,9426.714138876174
2025-10-10 01:00:00,121760.0,122670.0,103310.0,113080.0,2484.024402079959
2025-10-11 01:00:00,112976.01,113720.0,109683.96,110768.89,13605.231183155422
2025-10-12 01:00:00,110775.2,116000.0,109687.46,115067.98,12760.39410213591
2025-10-13 01:00:00,115125.3,116130.0,113700.27,115274.03,10823.303754614675
2025-10-14 01:00:00,115176.9,115630.0,109945.86,113260.0,17161.965830073994
2025-10-15 01:00:00,113106.3,113830.0,110185.87,110781.9,9952.984507236239
2025-10-16 01:00:00,110781.9,112150.0,107464.53,108198.0,19408.38181058711
2025-10-17 01:00:00,108182.3,109480.0,103516.75,106463.3,19153.306858324384
2025-10-18 01:00:00,106462.09,107720.0,106357.69,107199.0,4863.338008811805
2025-10-19 01:00:00,107199.0,109680.0,106091.25,108676.78,6885.482935605615
2025-10-20 01:00:00,108669.8,111870.0,107449.91,110574.4,9584.276645425842
2025-10-21 01:00:00,110574.4,114150.0,107444.6,108362.27,16828.081896254593
2025-10-22 01:00:00,108406.1,109188.27,106639.0,107644.1,12948.603512764013
2025-10-23 01:00:00,107588.02,111342.6,107511.46,110080.0,9207.636338841667
2025-10-24 01:00:00,110080.0,112400.0,109725.51,111000.0,8267.658549859949
2025-10-25 01:00:00,111000.0,111968.52,110693.01,111666.21,2215.960692259823
2025-10-26 01:00:00,111645.2,115542.0,111260.0,114548.09,5381.7500492704075
2025-10-27 00:00:00,114561.69,116500.0,113800.0,114087.06,7100.666106030376
2025-10-28 00:00:00,114087.06,116114.13,112203.0,112918.0,7316.612065270161
2025-10-29 00:00:00,112918.0,113770.0,109000.0,110104.2,9440.15832776935
2025-10-30 00:00:00,110104.2,111720.0,106279.33,108308.18,13303.448144585444
2025-10-31 00:00:00,108302.7,111270.0,108266.11,109552.7,9289.222717090175
2025-11-01 00:00:00,109555.63,110750.0,109342.47,110018.0,2701.993467900518
